user_id,auth_date
335388,2020-05-24
70032,2016-02-29
142408,2018-05-25
324273,2019-12-02
426572,2019-02-19
78027,2020-01-23
65889,2016-10-04
36658,2015-02-14
26605,2017-01-23
120443,2020-05-02
859651,2020-04-20
413219,2019-11-30
459184,2020-08-25
11406,2019-12-14
34850,2015-07-07
140206,2019-02-11
236418,2018-10-20
277439,2020-03-16
522890,2020-04-02
304281,2020-06-12
210000,2018-04-27
79556,2018-03-05
886661,2020-05-15
188865,2017-11-06
306717,2019-05-27
302634,2019-03-20
953546,2020-06-22
45155,2020-06-07
276475,2019-11-16
356460,2020-05-03
78920,2017-11-03
474663,2019-10-22
83237,2018-10-13
8384,2013-10-23
347907,2020-05-22
489560,2020-09-16
533086,2020-03-12
35665,2015-12-09
710131,2020-01-01
81120,2018-02-23
25351,2018-01-26
147254,2020-05-16
1778,2014-10-07
333161,2020-07-29
307574,2019-10-01
319576,2020-02-01
766553,2020-07-29
122452,2019-10-28
345891,2020-01-12
43202,2016-06-02
1485,2013-12-21
39072,2017-01-16
208658,2018-01-31
46875,2019-07-20
656740,2019-12-17
636604,2020-05-30
228803,2018-08-07
623493,2020-02-21
338269,2019-09-16
57320,2018-01-01
48107,2019-06-16
460272,2019-04-14
1006434,2020-07-25
41025,2017-02-07
361706,2019-01-26
456193,2019-05-25
383165,2020-06-08
640998,2020-08-19
206650,2020-05-28
46830,2019-12-24
741054,2020-02-01
906906,2020-05-28
299911,2018-07-20
42155,2017-12-31
78267,2018-01-09
176976,2017-11-22
411148,2019-11-22
1038260,2020-08-13
44209,2018-12-16
486460,2020-08-27
739088,2020-01-23
282578,2019-03-08
295698,2020-03-04
427139,2019-02-27
421574,2020-07-16
151442,2017-11-19
513150,2019-10-15
68613,2020-08-18
120834,2020-01-29
1019730,2020-08-28
131751,2017-12-08
144390,2019-08-14
142765,2020-01-12
349389,2018-11-04
901496,2020-06-09
44427,2017-04-05
514397,2020-02-20
409707,2020-02-08
839032,2020-06-13
170012,2017-08-26
203600,2018-04-26
293715,2020-01-03
128680,2019-05-26
38966,2017-04-23
115066,2019-07-03
50605,2019-08-23
878213,2020-05-27
811869,2020-07-31
215438,2020-03-14
418151,2019-12-27
324584,2020-08-18
402737,2019-09-15
410702,2019-07-19
449795,2019-11-23
138371,2019-04-16
302062,2018-12-30
955291,2020-07-15
421726,2020-03-18
409132,2020-09-09
428314,2020-02-19
33129,2018-01-12
853955,2020-04-27
547729,2020-01-12
104256,2018-03-27
538121,2020-06-13
613457,2020-02-07
47208,2016-10-26
333869,2019-05-30
62723,2018-11-24
29184,2018-08-04
153926,2018-02-23
491335,2019-07-25
126173,2018-09-11
604052,2020-06-27
107678,2020-06-21
212296,2019-01-20
616532,2020-01-14
367180,2018-12-21
33594,2016-01-03
45940,2018-08-02
47277,2015-07-12
177498,2019-04-21
176695,2018-12-21
583141,2019-08-29
349236,2018-10-20
235565,2019-04-27
754310,2020-02-01
34108,2020-06-21
627185,2020-01-09
423261,2019-11-18
154288,2017-06-11
707,2016-05-14
528043,2019-07-16
365221,2018-11-19
271543,2020-02-23
53501,2015-12-23
693094,2020-04-14
642437,2020-08-15
329379,2019-04-20
205808,2020-09-18
802627,2020-07-07
157728,2019-03-08
688677,2020-04-08
180272,2019-04-28
157369,2019-03-04
911397,2020-05-29
87887,2018-08-25
756205,2020-02-12
836998,2020-06-19
338847,2020-04-14
35040,2020-02-26
65414,2018-06-20
115650,2017-01-12
453358,2020-05-05
371455,2020-08-18
977157,2020-07-20
430928,2019-11-01
37874,2019-11-13
103318,2016-11-04
705284,2020-06-02
515496,2019-12-26
371669,2019-09-21
309674,2019-08-10
508103,2019-06-11
19020,2016-09-01
234205,2018-04-01
185373,2019-03-04
79776,2018-09-26
574850,2020-08-28
277775,2020-08-18
370416,2020-06-20
789212,2020-02-28
541143,2019-11-09
332700,2020-05-23
247412,2018-04-05
68050,2018-01-12
60859,2017-04-30
163171,2020-05-04
206739,2020-04-22
139394,2017-09-10
17973,2017-01-14
973629,2020-07-27
415081,2019-03-25
706230,2019-12-23
126324,2019-07-07
385110,2018-12-19
119184,2020-04-29
564358,2019-10-23
31436,2017-04-06
506106,2020-01-22
32450,2018-10-13
257680,2018-04-19
62603,2017-02-05
370024,2019-06-01
184290,2019-11-29
363518,2018-12-25
26359,2016-01-09
536477,2020-06-18
412201,2019-01-30
927189,2020-09-09
84348,2017-04-02
21173,2015-03-27
15530,2015-11-09
18857,2013-12-24
745071,2020-01-31
612257,2020-01-03
208912,2019-01-14
24897,2020-02-29
480420,2019-11-19
358726,2018-11-12
177714,2019-08-27
25342,2015-04-14
207788,2018-09-16
398531,2019-02-24
294929,2020-07-21
159434,2019-12-07
260287,2020-01-22
87759,2017-05-20
237332,2020-06-02
505884,2019-11-22
890814,2020-06-22
778598,2020-03-10
58251,2020-01-03
1020513,2020-08-14
324897,2020-01-18
85699,2019-09-26
255520,2019-02-26
531688,2020-01-10
386416,2020-05-08
178892,2017-12-30
283213,2019-01-25
148842,2017-09-19
415215,2019-12-09
306096,2018-11-06
901875,2020-05-20
150882,2017-07-08
109388,2017-07-21
793881,2020-03-09
182408,2018-04-18
59824,2015-11-13
323123,2020-08-31
384420,2020-03-01
95770,2018-08-11
937867,2020-07-23
191,2019-01-06
76503,2016-04-10
460278,2019-11-20
3095,2013-10-18
216594,2020-08-26
442049,2019-03-25
32106,2020-02-25
38629,2018-08-23
291095,2018-10-25
5748,2018-05-06
321174,2018-09-16
13173,2019-01-02
149056,2018-02-03
17607,2017-09-26
572795,2019-09-08
100306,2019-10-16
316510,2020-08-05
570956,2020-07-27
487416,2019-06-20
897405,2020-06-24
109543,2017-05-27
938298,2020-06-15
